Modified:,2023,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?
10,Recollection,s,30:13,,of visiting the morgue in Thailand.,DS,,,,,,,,,,,
11,Summary,,Session,,,,,,,,,,,,,,
11,Reading,,,,"MN 10: Satipaṭṭhāna Sutta, The Foundations of Mindfulness, Elements.",,,,,,,,,,,,
11,Reading,,,,"MN 62: Mahārāhulaovāda Sutta, The Greater Discourse of Advice to Rāhula.",,,,,,,,,,,,
11,Reading,,,,“Wholehearted training” in Collected Teachings p. 635 (excerpt).,,,,,,,,,,,,
11,Reading,,,,“Why Are We Here?” in Collected Teachings p. 131 (excerpt).,,,,,,,,,,,,
11,,,29:26,,Has there been discussion of getting a skeleton for Abhayagiri?,AP;AKd,Unattractiveness,Abhayagiri,,,,,,,,Yes,
11,,,30:28,,Is it common for body contemplation to veer towards aversion?,AP;AKd,Mindfulness of body,Unattractiveness,Aversion,,Translation,Not-self,Ajahn Chah,,,,
11,Sutta,,,,"MN 62: Mahārāhulaovāda Sutta, The Greater Discourse of Advice to Rāhula.",,,,,,,,,,,,
12,Reading,,Session,,"""Theory: Elements,"" Meditation: A Way of Awakening pp. 128-138.",,,,,,,,,,,,
13,,,Session,,"“How you develop four-elements meditation,” Knowing and Seeing pp. 116-120.",,,,,,,,,,,,
13,,,21:33,22:05,Does the imbalance mentioned [in Knowing and Seeing pp. 120] come from focusing in too much on a single element?,,,,,,,,,,,,
13,Comment,3,22:12,24:26,Appreciation for the elements meditation in Knowing and Seeing pp. 116-120.,AKc,,,,,Mindfulness of body,,,,,,
13,Response,,,,,,Mindfulness of body,Investigation of states,Delusion,,,,,,,,
13,,,24:54,26:44,What did Winnie-the-Pooh say about intellect versus understanding?,,Winnie-the-Pooh,Nature of mind,Humor,,,,,,,Yes,
,,,,,,,,,,,,,,,,,
14,Summary,,Session,,,,,,,,,,,,,,
14,Reading,,,,Right Mindfulness [pp. 8-12](Right Mindfulness p. 14).,,Right Mindfulness,,,,,,,,,,
14,Reading,,,,Iti 34: Ardour.,,Ardency,,,,,,,,,,
14,Comment,2,13:16,14:27,Venerable Analayo points out that present moment awareness and remembering the past are not mutually exclusive.,AShj,Present moment awareness,Ven. Analayo,,,,,,,,,
14,Response,,,,,,,,,,,,,,,,
14,Reference,s,,,"[Satipatthana](), Chapter 3; ""[On some definitions of Mindfulness](http://transformationalchange.pbworks.com/w/file/fetch/55259547/Definitions.pdf),"" Rupert Gethim, _Contemporary Buddhism_ Vol. 12, No. 1, May 2011.",,,,,,,,,,,,
14,,,28:23,,How can one be mindful of the beginning of thought?,AP;AKc;AKd,Directed thought and evaluation,Mindfulness,,,Appropriate attention,Perception,Proliferation,,,,
14,Comment,s,,,about observing proliferating thoughts.,,Directed thought and evaluation,Proliferation,Conditionality,Right Effort,Restlessness and worry,Mindfulness of mind,,,,,
14,Response,-,,,,AP,Mindfulness of breathing,Feeling,Perception,,,,,,,,
14,Sutta,--,,,MN 118 Ānāpānasati Sutta.,,,,,,,,,,,,
14,,,35:55,,Could you clarify the last two foundations of mindfulness?,,Mindfulness of mind,Mindfulness of dhammas,,,Heart/mind,Directed thought and evaluation,Emotion,,,,
14,,,37:26,41:04,Could you clarify “the body in the body?”,,Mindfulness of body,,,,Translation,Pāli,Ajahn Ṭhānissaro,Direct experience,Self-identity view,,
14,Reference,s,,,Chanting Book p. 91; [Right Mindfulness]().,,,,,,Elements,Proliferation,Perception,,,,
15,Summary,,Session,,,,,,,,,,,,,,
15,Reading,,,,Right Mindfulness pp. 12-14.,,,,,,,,,,,,
15,Reading,,,,AN 10.58: Roots.,,,,,,,,,,,,
15,Reading,,,,SN 51.15: The Brahmin Uṇṇabha.,,,,,,,,,,,,
15,,,11:37,14:09,What does “headed by” refer to?,,,,,,Concentration,Translation,Ajahn Ṭhānissaro,Pāli,,,
15,,,23:15,,Is the Buddha quoted as saying “I teach a path of the application of effort?”,,Buddha,Energy,Right Effort,Eightfold Path,Aids to Awakening,,,,,,
15,Sutta,,,,AN 3.137: Doctrine of energy (vīriyavādā),,Energy,,,,,,,,,,
15,Sutta,,,,DN 16: Mahāparinibbāna Sutta,,,,,,,,,,,,
15,,,26:25,,Is there a distinction between viriya and vayama?,,Energy,Right Effort,,,,,,,,,
15,Asked by,,,,,AKd,,,,,,,,,,,
15,,,26:51,,Can you speak about the roots of wholesome and unwholesome desire?,,Energy,Desire,Becoming,Skillful qualities,Discernment,Right Effort,Learning,Ajahn Chah,,,
15,Extra tags,,,,,,Unskillful qualities,,,,,,,,,,
15,Sutta,,,,AN 10.58.,,,,,,,,,,,,
15,Reference,,,,_Listening to the Heart_ by Kittisaro and Thanissara.,,,,,,,,,,,,
15,,,30:48,,How can you strive without becoming tense and grim?,,Right Effort,Humor,,,Mindfulness of body,Ajahn Chah,,,,,
15,Story,,33:10,,Ajahn Sumedho brings a “farang Buddha” to Ajahn Chah.,,Ajahn Sumedho,Buddha images,Ajahn Chah,Culture/West,,,,,,,
15,Comment,3,34:18,37:29,Ajahn Sucitto speaks of feeling water washing through you [as a way of releasing tension related to effort].,DS,Ajahn Sucitto,Elements,Right Effort,,,,,,,,
15,Story,,,,Khun Kesari's brother enters concentration by visualizing drinking a glass of water.,AP,Concentration,Visualization,Elements,,,,,,,,
15,Story,,,,Kesari's mother walked into Wat Ban Tad before there was a road.,AP,Wat Pah Ban Tat,Relics,,,,,,,,,
16,Reading,,Session,,Right Mindfulness p. 14-21.,,,,,,,,,,,,
16,Comment,2,,,"The phrase ""ancestral territory"" [mentioned in SN 47.6] doesn't carry oomph for (non-Native) Americans.",AKc,Culture/West,Culture/Native American,,,,,,,,,
16,Response,,,,,,Technology,Culture/Native American,History/America,,,,,,,,
16,,,26:26,,Why is the intellect not included in the five cords of sensual pleasure?,,Sense bases,Sensual desire,,,Culture/West,History,Culture/Thailand,Craving,,,
16,Asked by,,,,,AKd,,,,,,,,,,,
16,Sutta,,,,SN 47.6-7.,,,,,,,,,,,,
16,Follow-up,,,,Are the pīti and sukha of samādhi considered mano (intellect) states?,,Rapture,Happiness,Concentration,Sense bases,Aversion,,,,,,
16,,,32:42,,Why doesn't the passage (SN 47.7) mention obsession with painful objects?,AP;AKd,Desire,Aversion,,,,,,,,,
16,,,34:45,,Could it be that the five cords of sensual pleasure need an outside stimulus to be activated while the mind is an internal frame of reference?,,Sensual desire,Sense bases,Heart/mind,,Craving,Concentration,,,,,
16,Sutta,,,,MN 137: Replacing sensual pleasure with the pleasure of samādhi.,,,,,,,,,,,,
17,Summary,,Session,,,,,,,,,,,,,,
17,Reading,,,,Right Mindfulness p. 21-22.,,,,,,,,,,,,
17,Reading,,,,AN 4.245: Training.,,,,,,,,,,,,
17,Reading,,,,Sn 1.4: The Farmer Bhāradvāja.,,,,,,,,,,,,
17,,,8:05,,"If you observe that you are angry, do you use effort to abandon anger or just watch it?",,Aversion,Right Effort,,,,,,,,,
17,,,9:23,13:43,Does the term mindfulness always imply right mindfulness?,,Mindfulness,,,,Abhidhamma,Aggregates,,,,,
17,Reference,,,,Right Mindfulness p. 21-22,,,,,,,,,,,,
17,,,33:12,,What word does the translator (Saddhatissa) render as “immortality?”,,Translation,Deathless,,,,,,,,Yes,
17,Reference,,,,Sn 1.4: The Farmer Bhāradvāja,,,,,,,,,,,,
17,,,33:40,,What is a plowshare? ...So mindfulness is both the goad and the plowshare?,,Mindfulness,Similes,,,,,,,,,
17,Reference,,,,Sn 1.4: The Farmer Bhāradvāja,,,,,,,,,,,,
17,,,34:07,,How does mindfulness relate to choice?|(continuing the anger question),,Volition,Aversion,Mindfulness,Right Effort,Discernment,Language,,,,,
17,Comment,s,36:56,,about the nature of practice.,AbhSangha,Forgiveness,Similes,Aversion,,,,,,,,
17,Response,,,,,AP,Habits,Idealism,Patience,Ajahn Chah,Goodwill,Long-term practice,,,,,
17,Comment,2,,,Patience remind me of going through deep grief.,BSteff,Patience,Grief,,,,,,,,,
17,Indirect quote,u,43:11,46:13,"""Do you still have anger?"" ""Yes, but I don't take it.""|Ajahn Dune",DS,Ajahn Dune,Aversion,,,,,,,,,
17,Response,,,,,AP,Ajahn Chah,Arahant,,,,,,,,,
17,Follow-up,,,,Do we know if the Buddha had anger?,Anon,Buddha,Aversion,Sutta,,,,,,,,
17,Comment,2,,,Māra cam to the Buddha many times after the Buddha's enlightenment.,AKd,Māra,Buddha/Biography,,,,,,,,,
17,Response,-,,,,AP,Idealism,Arahant,Culture/West,Ajahn Chah,,,,,,,
18,Summary,,Session,,,,,,,,,,,,,,
18,Reading,,,,Right Mindfulness p. 23-24.,,,,,,,,,,,,
18,Reading,,,,AN 4.41: Concentration.,,Concentration,,,,,,,,,,
18,,,8:29,,What are the rewards for the skillful monk?,,Monastic life,Skillful qualities,,,Happiness,Mindfulness,Clear comprehension,Concentration,,,
18,Sutta,,,,SN 47.8: Simile of the skillful cook.,,Similes,,,,Similes,,,,,,
18,Story,,,,Ajahn Mun criticizes Ajahn Mahā Boowa for developing meditation like a tree stump.,,Ajahn Mun,Ajahn Mahā Boowa,Concentration,Admonishment/feedback,,,,,,,
18,Teaching,,10:38,15:32,Outline of AN 4.41 Samādhibhāvanā: Four types of concentration.,,Concentration,,,,Psychic powers,Mindfulness,Clear comprehension,Liberation,Outflows,,
18,Extra tags,,,,,,,,,,Perception of light,Impermanence,Aggregates,,,,
18,Comment,2,,,about the difference between the third and fourth developments of concentration.,AShj,Concentration,Conditionality,Aggregates,,,,,,,,
18,Response,,,,,,Outflows,Self-identity view,Aggregates,,,,,,,,
19,Summary,,Session,,,,,,,,,,,,,,
19,Reading,,,,Right Mindfulness p. 24-28.,,Right Mindfulness,Right Concentration,,,,,,,,,
19,Reading,,,,"MN 19: Dvedhavitakka Sutta, Two Kinds of Thought.",,,,,,,,,,,,
19,,,20:43,,How does cruelty differ from ill will?,AP;AKd,Ill-will,,,,Goodwill,Compassion,Right Mindfulness,Concentration,Right Effort,,
19,Sutta,,,,"MN 19: Dvedhavitakka Sutta, Two Kinds of Thought.",,,,,,,,,,,,
19,,,22:35,23:59,"When Ajahn Ṭhānissaro talks about Right Concentration, are Right Concentration and jhāna one and the same?",,Ajahn Ṭhānissaro,Right Concentration,Jhāna,,,,,,,,
19,,,24:01,26:06,"What are antidotes to the strained, tired mind?",AP;AKd,Sloth and torpor,,,,Directed thought and evaluation,Skillful qualities,Mindfulness of body,Mindfulness of breathing,,,
19,Sutta,,,,"MN 19: Dvedhavitakka Sutta, Two Kinds of Thought.",,,,,,,,,,,,
19,,,30:20,,Is pain an obstacle to reaching right concentration?,,Pain,Right Concentration,,,Happiness,Postures,Direct experience,,,,
19,Quote,,,,What's really painful about pain is the way we hate it.,,Pain,Aversion,,,,,,,,,
19,,,34:23,36:02,Can jhana occur in walking meditation?,,Jhāna,Posture/Walking,,,Concentration,Ajahn Viradhammo,,,,,
19,Sutta,,,,AN 5.29: Walking Meditatation.,,,,,,,,,,,,
20,Summary,,Session,,,,,,,,,,,,,,
20,Reading,,,,Right Mindfulness p. 28-31.,,Right Mindfulness,Right Concentration,,,,,,,,,
20,Reading,,,,SN 47.40: Analysis.,,,,,,,,,,,,
20,,,6:40,,What is your experience of directed thought and evaluation?,,Directed thought and evaluation,,,,,,,,,,
20,Indirect quote,,,,Directed thought [vitakka] is like lifting up the object in the mind. Evaluation is then looking at it from different angles.|Ajahn Chah,,Ajahn Chah,Directed thought and evaluation,Similes,,,,,,,,
20,,,9:25,11:23,Does the consistency of vicara correlate with samadhi?,AP;AKd,Directed thought and evaluation,Concentration,,,Rapture,Happiness,One pointedness,,,,
20,Sutta,,,,MN 119: Simile of the bathman.,,Similes,,,,,,,,,,
20,,,15:11,15:23,What does Ajahn Geoff mean by “frames of reference?”,,Ajahn Ṭhānissaro,Right Mindfulness,,,,,,,,,
20,,,20:07,21:18,Is “arising and vanishing” the same as “arising and ceasing?”,,Impermanence,,,,Pāli,Conditionality,,,,,
20,,,25:09,26:37,How does the general sense of awareness fit into the jhana factors?,,Jhāna,Present moment awareness,,,Clear comprehension,Right Mindfulness,,,,,
21,Summary,,Session,,,,,,,,,,,,,,
21,Reading,,,,Right Mindfulness p. 31-34.,,Right Mindfulness,Right Concentration,,,,,,,,,
21,Reading,,,,SN 47.4: At Sālā.,,,,,,,,,,,,
21,Reading,,,,Iti 90: Foremost Faith.,,,,,,,,,,,,
21,,,5:50,10:33,Is it easy for a person with attainments to deal with the world?,,Stages of awakening,Everyday life,,,Discernment,Conceit,Culture/West,Wrong concentration,,,
21,Quote,,,,To push away the world is also to reifying it. One gives it power when one is afraid of it.,,Craving not to become,Proliferation,Fear,,,,,,,,
21,Comment,3,,,Laypeople with highly developed meditation practice function well in the world.,ANy,Lay life,Meditation/Results,Energy,,,,,,,,
21,,,22:06,23:30,What is the Pāli word translated as disjoined or detached [in SN 47.4]?,,Translation,,,,,,,,,,
21,Comment,,,,SuttaCentral would have the translation.,,,,,,,,,,,,
21,Note,-,,,The Pāli word is visaṁyuttā ([SuttaCentral](https://suttacentral.net/sn47.4/en/sujato?lang=en&layout=linebyline&reference=main&notes=asterisk&highlight=false&script=latin#4.1)).,,,,,,,,,,,,
22,Reading,,Session,,"The Ānāpānasati Sutta (MN 118) describes how the sixteen steps of mindfulness of breathing fufill the four foundations of mindfulness, which in turn fufill the seven factors of enlightenment.",,Mindfulness of breathing,,,,,,,,,,
22,,,23:35,,Which Pāli word is translated as “fading away?”,,Pāli,Translation,Dispassion,,Cessation,,,,,,
22,,,24:38,,How does nirodha differ from arising and ceasing?,AP;AShj;AKd,Cessation,Impermanence,Pāli,Translation,P. A. Payutto,Dependent origination,,,,,
22,,,27:52,30:52,How do you practice with painful feeling?,,Pain,Mindfulness of feeling,Suffering,,Emotion,Blame and praise,Happiness,Proliferation,,,
22,Sutta,,,,"SN 36.6: Sallatha Sutta, The Arrow.",,,,,,,,,,,,
22,,,30:54,,What does “know the mind as mind; know feeling as feeling” mean?,,Right Mindfulness,Relinquishment,,,Proliferation,,,,,,
22,Comment,2,,,Self-view forms around the feeling from sense contact.,AShj,Sense bases,Contact,Feeling,Self-identity view,,,,,,,
22,Sutta,-,,,"MN 18: Madhupiṇḍika Sutta, The Honeyball.",,,,,,,,,,,,
22,Response,,,,,,Feeling,Volitional formations,Perception,,,,,,,,
22,Sutta,-,,,MN 118: Ānāpānasati Sutta.,,Mindfulness of breathing,,,,,,,,,,
22,,,35:11,,Should the sixteen steps be practiced simultaneously?,,Mindfulness of breathing,,,,Meditation/General advice,Right Effort,,,,,
22,Sutta,,,,MN 118: Ānāpānasati Sutta.,,,,,,,,,,,,
22,Comment,,36:49,39:40,There is the concern that we practice meditation to make something happen.,ANy,Meditation/General advice,,,,,,,,,,
22,Response,,,,,,Neutral feeling,Delusion,,,,,,,,,
22,Sutta,,,,"MN 44: Cūḷavedalla Sutta, The Small Discourse Giving an Elaboration.",,Feeling,Unskillful Roots,,,,,,,,,
22,Indirect quote,,39:43,41:08,How do I get me some of that non-grasping stuff?|Ajahn Sucitto,BSteff,Ajahn Sucitto,Clinging,Self-identity view,Humor,,,,,,,
22,Response,,,,,AP,Ajahn Sucitto,,,,,,,,,,
22,Story,,,,"""Do I look macho?"" – Ajahn Sucitto.",AKd,Ajahn Sucitto,Cittavivieka,Ajahn Karuṇadhammo,Humor,,,,,,,
23,Summary,,Session,,,,,,,,,,,,,,
23,Reading,,,,Right Mindfulness p. 93-96.,,,,,,,,,,,,
23,Reading,,,,"[Book of the Discipline Part 1 p. 116-121](Book of Discipline p. 185), Pārājika 3 origin story.",,,,,,,,,,,,
23,Reading,,,,AN 9.36: Jhāna.,,,,,,,,,,,,
23,Reading,,,,SN 54.8: Simile of the lamp.,,,,,,,,,,,,
24,Summary,,Session,,,,,,,,,,,,,,
24,Reading,,,,Right Mindfulness p. 96-99,,,,,,,,,,,,
24,Reading,,,,SN 22.79: Being Devoured.,,,,,,,,,,,,
24,Reading,,,,SN 36.11: Alone.,,,,,,,,,,,,
24,,,31:49,41:49,Why does the Buddha describe perception in terms of colors but consciousness in terms of tastes?,AP;AKd;ANy;AShj,Perception,Consciousness,Sense bases,,Bhikkhu Bodhi,Commentaries,Ven. Analayo,Memory,Feeling,,
24,Sutta,,,,SN 22.79: Being Devoured; footnote 114 in Bhikkhu Bodhi translation.,,,,,,,,,,,,
24,Follow-up,,,,Could you say that perception is identification whereas consciousness is more refined?,,Aggregates,Not-self,Self-identity view,Rebirth,Translation,Similes,,,,,
25,Summary,,Session,,,,,,,,,,,,,,
25,Reading,,,,Right Mindfulness p. 99-100.,,Mindfulness of breathing,,,,,,,,,,
25,Reading,,,,Forest Desanas [p. 52](Forest Desanas p. 49).,,,,,,,,,,,,
25,Reading,,,,Unpublished Luang Por Baen talks.,ABaen,,,,,,,,,,,
25,,,5:36,9:59,"In _Right Mindfulness_, Ajahn Ṭhānissaro focuses on how the first three tetrads apply to high states of concentation. How can these be useful in more mundane levels of meditation?",AP,Right Mindfulness,Mindfulness of breathing,Jhāna,,Investigation of states,Rapture,Volitional formations,Heart/mind,,,
25,Commentary,,,,Path of Purification p. 137: Five levels of pīti.,,,,,,,,,,,,
25,Comment,,10:01,13:27,Ajahn Ṭhānissaro encourages mindfulness of the body.,,Ajahn Ṭhānissaro,Mindfulness of body,,,Delusion,,,,,,
25,Response,,,,,AP,Ajahn Ṭhānissaro,Mindfulness of body,Mindfulness of breathing,Jhāna,,,,,,,
26,Summary,,Session,,,,,,,,,,,,,,
26,Reading,,,,Right Mindfulness p. 100-105.,,Mindfulness of breathing,,,,,,,,,,
26,Reading,,,,SN 46.53: Fire.,,,,,,,,,,,,
26,,,16:46,,Can you speak about when to use which aspects of satipatthāna?,AP,Right Mindfulness,Mindfulness of breathing,,,Right Effort,,,,,,
26,,,18:22,19:28,Could anyone give examples of how to apply the enlightenment factor of pīti when the mind is sluggish?,ANy;AP;AShj,Rapture,Sloth and torpor,,,Ajahn Mahā Boowa,Gladdening the mind,Investigation of states,,,,
27,Reading,,Session,,"Collected Teachings pp. 225-231: ""A Gift of Dhamma.""",,,,,,,,,,,,
27,,,16:01,,What is the Thai that is translated as “mind” and “mind objects?”,AP,Thai,Translation,Heart/mind,Moods of the mind,Ajahn Mun,Ajahn Chah,,,,,
28,Reading,,Session,,"Chapter 2, ""The Method of Developing Calm"" in Natural Character p. 30-39.",,,,,,,,,,,,
28,Discussion,,22:00,25:04,"of the reading and Tan Chao Khun Upālī as a scholar, administrator, and practitioner.",ANy;AKc;AP,Chao Khun Upālī,Study monks,Types of monks,,Ajahn Mun,Tudong,Geography/Thailand,,,,
29,Summary,,Session,,,,,,,,,,,,,,
29,Reading,,,,"MN 9: Sammādiṭṭhi Sutta, Right View (excerpt).",,,,,,,,,,,,
